product_id|product_name|isin|ticker_yahoo_finance
sb26506|Koninklijke KPN NV BUX CFD|NL0000009082|KPN.AS
sb26508|Vodafone Plc BUX CFD|GB00BH4HKS39|VOD.L
sb26509|HSBC Holdings Plc BUX CFD|GB0005405286|HSBA.L
sb26510|Tesco Plc BUX CFD|GB0008847096|TSCO.L
sb26511|Facebook Inc BUX CFD|US30303M1027|FB
sb26512|Twitter Inc BUX CFD|US90184L1026|TWTR
sb26513|Apple Inc BUX CFD|US0378331005|AAPL
sb26514|Google Inc A Shares BUX CFD|US02079K3059|GOOGL
sb26515|Tesla Motors Inc BUX CFD|US88160R1014|TSLA
sb26533|Royal Dutch Shell Plc-A BUX CFD|GB00B03MLX29|RDSA.AS
sb26974|Heineken NV BUX CFD|NL0000009165|HEIA.AS
sb26975|ING Groep NV BUX CFD|NL0011821202|INGA.AS
sb26976|Aegon NV BUX CFD|NL0000303709|AGN.AS
sb26977|Arcelormittal BUX CFD|LU1598757687|MT.AS
sb26978|Koninklijke Philips Electron BUX CFD|NL0000009538|PHIA.AS
sb26979|Air France-KLM BUX CFD|FR0000031122|AF.PA
sb26980|SBM Offshore NV BUX CFD|NL0000360618|SBMO.AS
sb26981|BT Group Plc BUX CFD|GB0030913577|BT-A.L
sb26982|BP Plc BUX CFD|GB0007980591|BP.L
sb26983|Barclays Plc BUX CFD|GB0031348658|BARC.L
sb26984|Sainsbury (J) Plc BUX CFD|GB00B019KW72|SBRY.L
sb26985|Royal Bank Of Scotland Group BUX CFD|GB00B7T77214|RBS.L
sb26986|Marks & Spencer Group Plc BUX CFD|GB0031274896|MKS.L
sb26987|Aviva Plc BUX CFD|GB0002162385|AV.L
sb26988|Bayerische Motoren Werke AG BUX CFD|DE0005190003|BMW.F
sb26989|Daimler AG BUX CFD|DE0007100000|DAI.F
sb26990|LVMH Moet Hennessy Louis Vuitton BUX CFD|FR0000121014|MC.PA
sb26991|L'Oreal BUX CFD|FR0000120321|OR.PA
sb26992|Adidas AG BUX CFD|DE000A1EWWW0|ADS.F
sb26993|Volkswagen AG BUX CFD|DE0007664039|VOW3.F
sb26994|Renault SA BUX CFD|FR0000131906|RNO.PA
sb26995|Telefonica SA BUX CFD|ES0178430E18|TEF.MC
sb26996|Zynga Inc BUX CFD|US98986T1088|ZNGA
sb26998|Amazon.Com Inc BUX CFD|US0231351067|AMZN
sb26999|Microsoft Corp BUX CFD|US5949181045|MSFT
sb27001|Goldman Sachs Group Inc BUX CFD|US38141G1040|GS
sb27002|Netflix Inc BUX CFD|US64110L1061|NFLX
sb27003|Priceline.Com Inc BUX CFD|US7415034039|BKNG
sb27687|Admiral Group Plc BUX CFD|GB00B02J6398|ADM.L
sb27688|Weir Group Plc BUX CFD|GB0009465807|WEIR.L
sb27690|Dixons Carphone Plc BUX CFD|GB00B4Y7R145|DC.L
sb27692|Alibaba Group Holding Ltd BUX CFD|US01609W1027|BABA
sb27693|Abercrombie & Fitch Co BUX CFD|US0028962076|ANF
sb27694|Walt Disney Co BUX CFD|US2546871060|DIS
sb27695|Boeing Co BUX CFD|US0970231058|BA
sb27701|GoPro Inc BUX CFD|US38268T1034|GPRO
sb27715|Zalando SE BUX CFD|DE000ZAL1111|ZAL.F
sb27886|Baidu Inc BUX CFD|US0567521085|BIDU
sb27892|Koninklijke Ahold NV BUX CFD|NL0011794037|AD.AS
sb27893|ASML Holding NV BUX CFD|NL0010273215|ASML.AS
sb27894|Randstad Holding NV BUX CFD|NL0000379121|RAND.AS
sb27896|Unilever NV BUX CFD|NL0000009355|UNA.AS
sb27897|Fugro NV BUX CFD|NL0000352565|FUR.AS
sb27902|Diageo Plc BUX CFD|GB0002374006|DGE.L
sb27903|Easyjet Plc BUX CFD|GB00B7KR2P84|EZJ.L
sb27905|Glencore Xstrata Plc BUX CFD|JE00B4T3BW64|GLEN.L
sb27906|Kingfisher Plc BUX CFD|GB0033195214|KGF.L
sb27907|Rolls-Royce Holdings Plc BUX CFD|GB00B63H8491|RR.L
sb27908|Rio Tinto Plc BUX CFD|GB0007188757|RIO.L
sb27910|TUI AG BUX CFD|DE000TUAG000|TUI.L
sb28138|Blackberry Ltd BUX CFD|CA09228F1036|BB
sb28205|Activision Blizzard Inc BUX CFD|US00507V1098|ATVI
sb28206|Qualcomm Inc BUX CFD|US7475251036|QCOM
sb28207|Ebay Inc BUX CFD|US2786421030|EBAY
sb28208|Electronic Arts Inc BUX CFD|US2855121099|EA
sb28209|Intel Corp BUX CFD|US4581401001|INTC
sb28210|Cisco Systems Inc BUX CFD|US17275R1023|CSCO
sb28211|Expedia Inc BUX CFD|US30212P3038|EXPE
sb28212|Fossil Inc BUX CFD|US34988V1061|FOSL
sb28213|Hasbro Inc BUX CFD|US4180561072|HAS
sb28214|Kraft Heinz Co BUX CFD|US5007541064|KHC
sb28216|Starbucks Corp BUX CFD|US8552441094|SBUX
sb28217|Tripadvisor Inc BUX CFD|US8969452015|TRIP
sb28219|Nike Inc BUX CFD|US6541061031|NKE
sb28220|Coca-Cola Co BUX CFD|US1912161007|KO
sb28221|Ford Motor Co BUX CFD|US3453708600|F
sb28222|General Electric Co BUX CFD|US3696041033|GE
sb28223|Pfizer Inc BUX CFD|US7170811035|PFE
sb28224|General Motors Co BUX CFD|US37045V1008|GM
sb28226|Exxon Mobil Corp BUX CFD|US30231G1022|XOM
sb28227|Schlumberger Ltd BUX CFD|AN8068571086|SLB
sb28228|Procter Gamble Co BUX CFD|US7427181091|PG
sb28229|McDonald's Corp BUX CFD|US5801351017|MCD
sb28230|Merck & Co BUX CFD|US58933Y1055|MRK
sb28231|Alcoa Inc BUX CFD|US0138721065|AA
sb28232|Wal-Mart Stores Inc BUX CFD|US9311421039|WMT
sb28233|Chevron Corp BUX CFD|US1667641005|CVX
sb28235|Harley-Davidson Inc BUX CFD|US4128221086|HOG
sb28236|Haliburton Co BUX CFD|US4062161017|HAL
sb28238|Pepsico Inc BUX CFD|US7134481081|PEP
sb28239|Ralph Lauren Corp BUX CFD|US7512121010|RL
sb28240|Salesforce.Com inc BUX CFD|US79466L3024|CRM
sb28242|Yum! Brands Inc BUX CFD|US9884981013|YUM
sb28243|GlaxoSmithKline Plc BUX CFD|GB0009252882|GSK.L
sb28244|Astrazeneca Plc BUX CFD|GB0009895292|AZN.L
sb28245|BASF SE BUX CFD|DE000BASF111|BAS.F
sb28246|Bayer AG BUX CFD|DE000BAY0017|BAYN.F
sb28247|Beiersdorf AG BUX CFD|DE0005200000|BEI.F
sb28248|Deutsche Bank AG BUX CFD|DE0005140008|DBK.F
sb28249|Deutsche Lufthansa BUX CFD|DE0008232125|LHA.F
sb28250|Siemens AG BUX CFD|DE0007236101|SIE.F
sb28251|Thyssenkrupp AG BUX CFD|DE0007500001|TKA.F
sb28252|SAP AG BUX CFD|DE0007164600|SAP.F
sb28253|Carrefour SA BUX CFD|FR0000120172|CA.PA
sb28254|Danone BUX CFD|FR0000120644|BN.PA
sb28255|Vivendi BUX CFD|FR0000127771|VIV.PA
sb28256|Pernod-Ricard SA BUX CFD|FR0000120693|RI.PA
sb28722|TomTom NV BUX CFD|NL0000387058|TOM2.AS
sb28836|Airbus Group NV BUX CFD|NL0000235190|AIR.PA
sb28837|Akzo Nobel BUX CFD|NL0000009132|AKZA.AS
sb28839|Amgen Inc BUX CFD|US0311621009|AMGN
sb28840|AT&T Inc BUX CFD|US00206R1023|T
sb28841|Bank of America Corp BUX CFD|US0605051046|BAC
sb28842|Berkshire Hathaway Inc BUX CFD|US0846707026|BRK-B
sb28843|Blackrock Inc BUX CFD|US09247X1019|BLK
sb28844|Boskalis Westminster BUX CFD|NL0000852580|BOKA.AS
sb28847|Delta Air Lines Inc BUX CFD|US2473617023|DAL
sb28850|Garmin Ltd BUX CFD|CH0114405324|GRMN
sb28852|Hennes & Mauritz AB BUX CFD|SE0000106270|HM-B.ST
sb28853|HP Inc BUX CFD|US40434L1052|HPQ
sb28854|Illumina Inc BUX CFD|US4523271090|ILMN
sb28855|Inditex SA BUX CFD|ES0148396007|ITX.MC
sb28856|Intl Business Machines Corp BUX CFD|US4592001014|IBM
sb28857|JPMorgan Chase & Co BUX CFD|US46625H1005|JPM
sb28858|Klepierre BUX CFD|FR0000121964|LI.PA
sb28859|Koninklijke DSM NV BUX CFD|NL0000009827|DSM.AS
sb28861|Monster Beverage Corp BUX CFD|US61174X1090|MNST
sb28862|Morgan Stanley BUX CFD|US6174464486|MS
sb28864|Oracle Corp BUX CFD|US68389X1054|ORCL
sb28865|Philip Morris International BUX CFD|US7181721090|PM
sb28867|Schwab (Charles) Corp BUX CFD|US8085131055|SCHW
sb28871|Under Armour Inc - A BUX CFD|US9043111072|UAA
sb28873|Verizon Communications Inc BUX CFD|US92343V1044|VZ
sb28875|Wolters Kluwer BUX CFD|NL0000395903|WKL.AS
sb29274|British American Tobacco Plc BUX CFD|GB0002875804|BATS.L
sb29276|Lloyds Banking Group Plc BUX CFD|GB0008706128|LLOY.L
sb29277|Standard Life Plc BUX CFD|GB00BVFD7Q58|SLA.L
sb29389|NN Group NV BUX CFD|NL0010773842|NN.AS
sb29391|RELX NV BUX CFD|NL0006144495|REN.AS
sb30581|PayPal Holdings Inc BUX CFD|US70450Y1038|PYPL
sb30922|Allianz SE BUX CFD|DE0008404005|ALV.F
sb30923|E.ON AG BUX CFD|DE000ENAG999|EOAN.F
sb30924|Deutsche Telecom AG BUX CFD|DE0005557508|DTE.F
sb30926|RWE AG BUX CFD|DE0007037129|RWE.F
sb30927|Fresenius Medical Care AG & Co BUX CFD|DE0005785802|FME.F
sb30928|Deutsche Post AG BUX CFD|DE0005552004|DPW.F
sb30929|Fresenius SE & Co KGaA BUX CFD|DE0005785604|FRE.F
sb30930|Henkel AG & Co KGaA Vorzug BUX CFD|DE0006048432|HEN3.F
sb30931|Deutsche Boerse AG BUX CFD|DE0005810055|DB1.F
sb30932|Infineon Technologies AG BUX CFD|DE0006231004|IFX.F
sb30933|K+S AG BUX CFD|DE000KSAG888|SDF.F
sb30934|Commerzbank AG BUX CFD|DE000CBK1001|CBK.F
sb30935|Merck KGaA BUX CFD|DE0006599905|MRK.F
sb30936|Heidelbergcement AG BUX CFD|DE0006047004|HEI.F
sb30937|Lanxess AG BUX CFD|DE0005470405|LXS.F
sb30938|Visa Inc BUX CFD|US92826C8394|V
sb32394|Vonovia SE BUX CFD|DE000A1ML7J1|VNA.F
sb32395|Suedzucker AG BUX CFD|DE0007297004|SZU.F
sb32727|Ferrari NV BUX CFD|NL0011585146|RACE
sb33038|ABN Amro Group NV BUX CFD|NL0011540547|ABN.AS
sb33059|Nvidia Corp BUX CFD|US67066G1040|NVDA
sb34080|BAE Systems Plc BUX CFD|GB0002634946|BA.L
sb34087|Prosieben Sat.1 Media AG BUX CFD|DE000PSM7770|PSM.F
sb34271|Citigroup Inc BUX CFD|US1729674242|C
sb34799|Adobe Systems Spot BUX CFD|US00724F1012|ADBE
sb36547|Campari BUX CFD|IT0005252207|CPR.MI
sb36549|Enel SpA BUX CFD|IT0003128367|ENEL.MI
sb36552|Assicurazioni Generali BUX CFD|IT0000062072|G.MI
sb36553|Intesa Sanpaolo BUX CFD|IT0000072618|ISP.MI
sb36555|Mediaset SpA BUX CFD|IT0001063210|MS.MI
sb36559|STMicroelectronics NV BUX CFD|NL0000226223|STM.MI
sb36562|Unicredit SpA BUX CFD|IT0005239360|UCG.MI
sb36600|Santander BUX CFD|ES0113900J37|SAN.MC
sb36601|BBVA BUX CFD|ES0113211835|BBVA.MC
sb36602|IAG BUX CFD|ES0177542018|IAG.MC
sb36603|Repsol BUX CFD|ES0173516115|REP.MC
sb36782|Caterpillar Inc BUX CFD|US1491231015|CAT
sb36783|Mastercard Inc BUX CFD|US57636Q1040|MA
sb36784|Continental AG BUX CFD|DE0005439004|CON.F
sb36792|Snap Inc BUX CFD|US83304A1060|SNAP
sb37021|Volvo BUX CFD|SE0000115446|VOLV-B.ST
sb39969|Roku BUX CFD|US77543R1023|ROKU
sb40157|Spotify Technology BUX CFD|LU1778762911|SPOT
sb40167|Dropbox Inc BUX CFD|US26210C1045|DBX
sb42717|Adyen NV BUX CFD|NL0012969182|ADYEN.AS
sb43347|Sonos BUX CFD|US83570H1086|SONO
sb43813|Nio Inc BUX CFD|US62914V1061|NIO
sb43828|Aston Martin BUX CFD|GB00BFXZC448|AML.L
sb43886|Shopify Inc. BUX CFD|CA82509L1076|SHOP
sb43891|Square BUX CFD|US8522341036|SQ
sb44023|Amd BUX CFD|US0079031078|AMD
sb44030|Capri BUX CFD|VGG1890L1076|CPRI
sb45039|Lyft Inc BUX CFD|US55087P1049|LYFT
sb45132|Levi's BUX CFD|US52736R1023|LEVI
sb45428|Pinterest Inc BUX CFD|US72352L1061|PINS
sb45440|Uber BUX CFD|US90353T1007|UBER
sb45545|Slack BUX CFD|US83088V1026|WORK
sb45568|Beyond Meat BUX CFD|US08862E1091|BYND
sb45866|Post NL BUX CFD|NL0009739416|PNL.AS
sb45874|Takeaway.com BUX CFD|NL0012015705|TKWY.AS
sb45928|Canopy Growth BUX CFD|CA1380351009|CGC
sb45930|Aurora Cannabis BUX CFD|CA05156X1087|ACB
sb45931|ubisoft BUX CFD|FR0000054470|UBI.PA
sb45932|Nestle BUX CFD|CH0038863350|NESN.SW
sb45933|Tilray BUX CFD|US88688T1007|TLRY
sb46375|Peloton Interactive BUX CFD|US70614W1009|PTON
sb46377|Nordstrom BUX CFD|US6556641008|JWN
sb46378|Lululemon Athletica BUX CFD|US5500211090|LULU
sb46380|Foot Locker BUX CFD|US3448491049|FL
sb46381|Urban Outfitters BUX CFD|US9170471026|URBN
sb46382|PG&E Corp BUX CFD|US69331C1080|PCG
sb46383|Covestro BUX CFD|DE0006062144|1COV.DE
sb46384|CTS Eventim BUX CFD|DE0005470306|EVD.DE
sb46385|CaixaBank BUX CFD|ES0140609019|CABK.MC
sb46386|Siemens Gamesa BUX CFD|ES0143416115|SGRE.MC
sb46387|Aena BUX CFD|ES0105046009|AENA.MC
sb46389|Acerinox BUX CFD|ES0132105018|ACX.MC
sb46390|Endesa BUX CFD|ES0130670112|ELE.MC
sb46391|Ferrovial BUX CFD|ES0118900010|FER.MC
sb46392|Etsy BUX CFD|US29786A1060|ETSY
sb46393|Take-Two Interactive BUX CFD|US8740541094|TTWO
sb46394|Twilio BUX CFD|US90138F1021|TWLO
sb46395|Workday BUX CFD|US98138H1014|WDAY
sb46396|Splunk BUX CFD|US8486371045|SPLK
sb46397|Veeva Systems BUX CFD|US9224751084|VEEV
sb46398|Waste Management BUX CFD|US94106L1098|WM
sb46399|ServiceNow BUX CFD|US81762P1021|NOW
sb46434|Ballard Power Systems BUX CFD|CA0585861085|BLDP
sb46530|Zoom BUX CFD|US98980L1017|ZM
sb46692|Virgin Galactic BUX CFD|US92766K1060|SPCE
sb47337|Johnson & Johnson BUX CFD|US4781601046|JNJ
sb47338|Roche BUX CFD|CH0012032048|ROG.SW
sb47339|Abbott Labs BUX CFD|US0028241000|ABT
sb47340|Novartis BUX CFD|CH0012005267|NOVN.SW
sb47341|Sanofi BUX CFD|FR0000120578|SAN.PA
sb47450|Gilead Sciences BUX CFD|US3755581036|GILD
sb47530|Vornado BUX CFD|US9290421091|VNO
sb47531|Simon Property BUX CFD|US8288061091|SPG
sb47575|JDE Peet's BUX CFD|NL0014332678|JDEP.AS
sb47816|Lemonade BUX CFD|US52567D1072|LMND
sb48114|Delivery Hero BUX CFD|DE000A2E4K43|DHER.DE
sb48245|Unity BUX CFD|US91332U1016|U
sb48251|Palantir BUX CFD|US69608A1088|PLTR
sb48257|Snowflake BUX CFD|US8334451098|SNOW
sb48487|Airbnb BUX CFD|US0090661010|ABNB
sb48730|DoorDash BUX CFD|US25809K1051|DASH
sb48990|Bumble BUX CFD|US12047B1052|BMBL
sb49166|Deliveroo BUX CFD|GB00BNC5T391|ROO.L
sb49325|Coinbase BUX CFD|US19260Q1076|COIN
sb49432|Oatly BUX CFD|US67421J1088|OTLY
